time,reason,dir,station,cat_type,day
5:37 AM,Train unloaded passengers due to technical problem.,South Bound,Ortigas - Shaw Boulevard,CAT 3,"January 10, 2018"
8:19 AM,Train unloaded pax at Shaw Blvd Stn SB due to technical problem.,South Bound,Shaw Boulevard,CAT 3,"January 09, 2018"
10:02 AM,Train unloaded pax at Shaw. Blvd. Stn NB due to technical problem.,North Bound,Shaw Boulevard,CAT 3,"January 07, 2018"
5:19 AM,Service interruption due to technical problem.,South Bound,North Avenue,CAT 4,"January 06, 2018"
6:07 AM,Normal operations resumed.,South Bound,North Avenue,CAT 1,"January 05, 2018"
7:48 AM,Train unloaded pax at 7:48am at Santolan Station SB due to technical problem.,South Bound,Santolan Anapolis,CAT 3,"January 04, 2018"
2:21 PM,Train unloaded passengers due to technical problem.,South Bound,Quezon Avenue,CAT 2,"January 02, 2018"
6:54 AM,Service interruption due to signaling problem.,South Bound,North Avenue - Taft Avenue,CAT 4,"December 31, 2017"
7:59 AM,Normal operations resumed.,South Bound,North Avenue - Taft Avenue,CAT 1,"December 28, 2017"
3:55 PM,Train unloaded pax at Magallanes Stn NB at 3:55 PM due to technical problem.,North Bound,Magallanes,CAT 3,"December 26, 2017"
5:48 AM,Train unloaded passengers due to technical problem.,South Bound,Shaw Boulevard,CAT 3,"December 25, 2017"
4:15 PM,"Train experienced technical problem, unloaded passengers at Quezon Ave. Station SB 4:33PM.",South Bound,North Avenue - Quezon Avenue,CAT 4,"December 24, 2017"
6:16 PM,Train unloaded passengers due to technical problem.,South Bound,North Avenue,CAT 2,"December 23, 2017"
5:50 AM,Train unloaded passengers due to technical problem.,South Bound,Boni Avenue,CAT 3,"December 22, 2017"
6:10 AM,Train unloaded passengers due to technical problem.,South Bound,GMA Kamuning,CAT 3,"December 21, 2017"
10:11 PM,Train unloaded pax at Shaw Blvd Stn NB at 10:11 PM due to door failure.,North Bound,Shaw Boulevard,CAT 3,"December 20, 2017"
8:38 PM,Train unloaded passengers at Magallanes Station 8:43PM due to technical problem.,South Bound,Ayala Avenue - Magallanes,CAT 3,"December 18, 2017"
3:08 PM,Train unloaded passengers due to technical problem.,North Bound,Taft Avenue - Magallanes,CAT 2,"December 16, 2017"
5:19 PM,Train unloaded passengers due to technical problem.,South Bound,North Avenue,CAT 2,"December 15, 2017"
8:12 AM,Train unloaded pax at Boni Station NB at 8:12 AM due to technical problem.,North Bound,Boni Avenue,CAT 3,"December 14, 2017"
6:58 PM,Train unloaded passengers due to technical problem.,South Bound,GMA Kamuning,CAT 2,"December 12, 2017"
2:47 PM,"Service Interruption due to train at interstation of Ortigas and Santolan NB with technical problem. 
Passengers' evacuation with the assistance of Security Personnel.  ",North Bound,Ortigas - Santolan Anapolis,CAT 4,"December 10, 2017"
3:13 PM,All revenue trains traffic are regulated. Normal operation resumed at 3:13pm.,North Bound,Ortigas - Santolan Anapolis,CAT 1,"December 09, 2017"
4:13 PM,Train unloaded pax at North Ave Stn SB at 4:13pm due to technical problem.,South Bound,North Avenue,CAT 2,"December 08, 2017"
7:09 PM,Train unloaded pax at Boni Stn NB at 7:09 pm due to door failure.,North Bound,Boni Avenue,CAT 2,"December 07, 2017"
8:26 AM,Train unloaded pax at Santolan Stn. SB at 8:26 AM due technical problem.,South Bound,Santolan Anapolis,CAT 3,"December 06, 2017"
8:00 PM,Train unloaded passengers due to technical problem.,South Bound,Cubao,CAT 3,"December 03, 2017"
12:37 PM,Train unloaded passengers due to technical problem.,North Bound,Ayala Avenue,CAT 3,"December 02, 2017"
11:36 AM,Train unloaded passengers due to technical problem.,South Bound,Boni Avenue,CAT 3,"November 28, 2017"
6:17 AM,Train unloaded passengers due to technical problem.,South Bound,Cubao,CAT 2,"November 27, 2017"
12:21 PM,Train unloaded passengers due technical problem.,North Bound,Shaw Boulevard,CAT 3,"November 25, 2017"
